Description,location,Carpet_Area_sqft,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car_Parking,Ownership,Price__in_rupees_
"Discover this immaculate 3 BHK flat for sale at the pristine Nalapani in Dehradun. This flat is situated in the Aradhana Greens township and is equipped with premium facilities. This is a desirable apartment for resale. This apartment in one of the significant areas of Nalapani is ready to move, and can be purchased at the best price of INR 98 Lac. This immaculate flat boasts of coming in furnished form which takes the entire deal to the next level.",dehradun,2253,Ready to Move,4,Resale,Furnished,East,Main Road,Aradhana Greens,3,3,0,Freehold,"4350"
"This gorgeous 3 BHK Flat is available for sale in Kakkanad, Kochi. It is housed in the well-planned Trine Tower township in an advantageous location. This flat for resale is just the type of property you have been searching for! Located in Kakkanad, this ready to move apartment is sold at a fair selling price of INR 85 Lac. This contemporary apartment is furnished. The flat is easily approachable because it is near to near naipunnya public school, seaport airport road frontage.",kochi,1920,Ready to Move,3,Resale,Furnished,North - East,"Garden/Park, Pool, Main Road",Trine Tower,3,1,1,Freehold,"4427"
"Have a look at this immaculate 4 BHK flat for sale in Sector 110, Mohali. Enjoying a prime location, this property is housed in the Sandwoods Opulencia society. This flat for sale is a choice property. This ready to move flat in Sector 110 can be taken at a very economical pricing of INR 1.25 Cr. The flat is available in furnished condition. Landmarks near the apartment include near emaar sector 109 and tdi sector 110 mohali.",mohali,1706,Ready to Move,3,New Property,Furnished,East,"Garden/Park, Main Road",Sandwoods Opulencia,5,3,1,Freehold,"4760"
3 BHK flat available for sale in Coimbatore in the prime location of Thaneerpandal. This flat is situated in the Meadows township and is equipped with premium facilities. This flat for resale is the perfect property for you! This ready to move flat in Thaneerpandal comes at an affordable price of INR 1 Cr. It is a furnished apartment. Prominent landmarks in and around this locality are tidel park.,coimbatore,1900,Ready to Move,1,Resale,Furnished,North,Garden/Park,Meadows,3,1,0,Freehold,"4785"
Discover this immaculate 3 BHK flat for sale at the pristine NH 24 in Ghaziabad. Situated in the excellent Green Floors township. The flat enjoys a prime location. This flat for sale is a choice property. This ready to move flat in NH 24 can be availed at a reasonable price of INR 84 Lac. This immaculate flat boasts of coming in furnished form which takes the entire deal to the next level. Prominent landmarks in and around this locality are near abs engineering college and nh24 crossing ghaziabad.,ghaziabad,1750,Ready to Move,2,New Property,Furnished,East,"Garden/Park, Main Road",Green Floors,3,2,1,Freehold,"4800"
"Have a look at this immaculate 4 BHK flat for sale in TDI City Kundli, Sonipat. Situated in the Tdi City Kundli township, it has a prime location. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat located in TDI City Kundli is available for purchase at a fair price of INR 1.40 Cr. It is a furnished apartment. The flat is easily approachable because it is near to on main nh-1..",sonipat,2650,Ready to Move,1,Resale,Furnished,North - East,Garden/Park,TDI City Kundli,5,2,1,Freehold,"4828"
"This exquisite 4 BHK Flat is offered for sale in Shankar Nagar, Raipur. Ideally situated in the Swastik East 12 township it enjoys a prime location. This flat for resale is the perfect property for you! In Shankar Nagar, this ready to move flat is available at an attractive price of INR 1.11 Cr. The flat is available in furnished condition. shankar nagar , kachna road , raipur are some major landmarks near the apartment.",raipur,1800,Ready to Move,3,Resale,Furnished,East,"Pool, Garden/Park, Main Road",Swastik East 12,3,3,0,Freehold,"4839"
"This magnificent 3 BHK Flat is available for sale in Mainawati Marg, Kanpur. Situated in the excellent Nri City township. The flat enjoys a prime location. This flat for resale is the perfect property for you! You can buy this ready to move flat in Mainawati Marg at a reasonable price of INR 90 Lac. It is a furnished apartment.",kanpur,1750,Ready to Move,7,Resale,Furnished,East,"Garden/Park, Main Road",NRI City,3,4,1,Freehold,"4865"
"Discover this immaculate 4 BHK flat for sale at the pristine Vaishnodevi Circle in Ahmedabad. Enjoying a prime location, this property is housed in the Shree Balaji Wind Park society. This flat for resale is a choice property. This ready to move flat in Vaishnodevi Circle comes at an affordable price of INR 2 Cr. The flat is furnished and is suitable for any family size. Prominent landmarks in and around this locality are near. vaishnodevi circle.",ahmedabad,4000,Ready to Move,11,Resale,Furnished,East,"Garden/Park, Pool",Shree Balaji Wind Park,4,2,0,Freehold,"5000"
"This gorgeous 5 BHK Flat is available for sale in Kundli, Sonipat. Well-tucked in the Tdi Kingsbury township, the property is easily accessible. This flat for resale is the perfect property for you! This ready to move flat in Kundli comes at an affordable price of INR 2.25 Cr. You will find it furnished. Some nearby landmarks are near tdi mall, on main nh-1::::near kmp-kgp express highway.",sonipat,4150,Ready to Move,11,Resale,Furnished,North - East,Garden/Park,TDI Kingsbury,5,5,1,Freehold,"5056"
